Zip Code,City,County,Type
75974,Tenaha,Shelby,Standard
75975,Timpson,Shelby,Standard
75976,Wells,Cherokee,P.O. Box
75977,Wiergate,Newton,Standard
75978,Woden,Nacogdoches,P.O. Box
75979,Woodville,Tyler,Standard
75980,Zavalla,Angelina,Standard
75990,Woodville,Tyler,Unique
76001,Arlington,Tarrant,Standard
76002,Arlington,Tarrant,Standard
76003,Arlington,Tarrant,P.O. Box
76004,Arlington,Tarrant,P.O. Box
76005,Arlington,Tarrant,Standard
76006,Arlington,Tarrant,Standard
76007,Arlington,Tarrant,P.O. Box
76008,Aledo,Parker,Standard
76009,Alvarado,Johnson,Standard
76010,Arlington,Tarrant,Standard
76011,Arlington,Tarrant,Standard
76012,Arlington,Tarrant,Standard
76013,Arlington,Tarrant,Standard
76014,Arlington,Tarrant,Standard
76015,Arlington,Tarrant,Standard
76016,Arlington,Tarrant,Standard
76017,Arlington,Tarrant,Standard
76018,Arlington,Tarrant,Standard
76019,Arlington,Tarrant,Unique
76020,Azle,Tarrant,Standard
76021,Bedford,Tarrant,Standard
76022,Bedford,Tarrant,Standard
76023,Boyd,Wise,Standard
76028,Burleson,Johnson,Standard
76031,Cleburne,Johnson,Standard
76033,Cleburne,Johnson,Standard
76034,Colleyville,Tarrant,Standard
76035,Cresson,Hood,Standard
76036,Crowley,Tarrant,Standard
76039,Euless,Tarrant,Standard
76040,Euless,Tarrant,Standard
76041,Forreston,Ellis,Standard
76043,Glen Rose,Somervell,Standard
76044,Godley,Johnson,Standard
76048,Granbury,Hood,Standard
76049,Granbury,Hood,Standard
76050,Grandview,Johnson,Standard
76051,Grapevine,Tarrant,Standard
76052,Haslet,Tarrant,Standard
76053,Hurst,Tarrant,Standard
76054,Hurst,Tarrant,Standard
76055,Itasca,Hill,Standard
76058,Joshua,Johnson,Standard
76059,Keene,Johnson,Standard
76060,Kennedale,Tarrant,Standard
76061,Lillian,Johnson,P.O. Box
76063,Mansfield,Tarrant,Standard
76064,Maypearl,Ellis,Standard
76065,Midlothian,Ellis,Standard
76066,Millsap,Parker,Standard
76067,Mineral Wells,Palo Pinto,Standard
76068,Mineral Wells,Palo Pinto,P.O. Box
76070,Nemo,Somervell,Standard
76071,Newark,Wise,Standard
76073,Paradise,Wise,Standard
76077,Rainbow,Somervell,Standard
76078,Rhome,Wise,Standard
76082,Springtown,Parker,Standard
76084,Venus,Johnson,Standard
76085,Weatherford,Parker,Standard
76086,Weatherford,Parker,Standard
76087,Weatherford,Parker,Standard
76088,Weatherford,Parker,Standard
76092,Southlake,Tarrant,Standard
76093,Rio Vista,Johnson,Standard
76094,Arlington,Tarrant,P.O. Box
76095,Bedford,Tarrant,P.O. Box
76096,Arlington,Tarrant,P.O. Box
76097,Burleson,Johnson,P.O. Box
76098,Azle,Parker,P.O. Box
76099,Grapevine,Tarrant,P.O. Box
76101,Fort Worth,Tarrant,P.O. Box
76102,Fort Worth,Tarrant,Standard
76103,Fort Worth,Tarrant,Standard
