City,Zip_Codes,Lat,Lon
Austin,78730,30.37,-97.84
Austin,78731,30.35,-97.77
Austin,78732,30.38,-97.89
Austin,78733,30.32,-97.87
Austin,78734,30.38,-97.96
Austin,78735,30.27,-97.87
Austin,78736,30.24,-97.89
Austin,78738,30.31,-97.98
Austin,78739,30.17,-97.89
Austin,78741,30.23,-97.72
Austin,78742,30.24,-97.66
Austin,78744,30.18,-97.74
Austin,78745,30.21,-97.8
Austin,78746,30.3,-97.81
Austin,78747,30.12,-97.75
Austin,78748,30.16,-97.82
Austin,78749,30.21,-97.86
Austin,78750,30.41,-97.8
Austin,78751,30.31,-97.72
Austin,78752,30.34,-97.7
Austin,78753,30.38,-97.67
Austin,78754,30.37,-97.64
Austin,78756,30.32,-97.74
Austin,78757,30.35,-97.73
Austin,78758,30.38,-97.71
Austin,78759,30.4,-97.75
Austin,78799,,
Anthony,79821,31.97,-106.6
Canutillo,79835,31.94,-106.59
Clint,79836,31.55,-106.18
San Elizario,79849,31.5,-106.2
El Paso,79901,31.76,-106.48
El Paso,79902,31.78,-106.5
El Paso,79903,31.79,-106.45
El Paso,79904,31.86,-106.45
El Paso,79905,31.76,-106.43
El Paso,79906,31.81,-106.4
El Paso,79907,31.72,-106.36
El Paso,79908,31.83,-106.37
El Paso,79910,,
El Paso,79911,31.882,-106.544
El Paso,79912,31.85,-106.54
El Paso,79915,31.75,-106.38
Fort Bliss,79916,31.9,-106.2
Fort Bliss,79918,,
El Paso,79922,31.8,-106.54
El Paso,79924,31.89,-106.43
El Paso,79925,31.79,-106.38
El Paso,79927,31.65,-106.27
El Paso,79928,31.6,-106.1
El Paso,79930,31.82,-106.46
El Paso,79932,31.88,-106.61
El Paso,79934,31.9,-106.5
El Paso,79935,31.79,-106.33
El Paso,79936,31.78,-106.31
El Paso,79938,31.8,-106.1
